"","COUNTRY","DX_GROUP","LONG","LAT","YEAR_START","total","positive","prev","year","prev2"
"230","CMR","nod",10.208,5.344,1996,31,12,0.387096774193548,"1990s",38.7096774193548
"231","CMR","nod",10.20812,5.06275,1996,27,19,0.703703703703704,"1990s",70.3703703703704
"232","CMR","nod",10.20812,5.06275,2005,105,11,0.104761904761905,"2000s",10.4761904761905
"233","CMR","nod",10.20812,5.06275,2006,91,13,0.142857142857143,"2000s",14.2857142857143
"234","CMR","nod",10.20812,5.06275,2011,125,29,0.232,"2010s",23.2
"235","CMR","nod",10.209,5.507,1996,30,10,0.333333333333333,"1990s",33.3333333333333
"236","CMR","nod",10.20907,5.122713,1996,27,16,0.592592592592593,"1990s",59.2592592592593
"237","CMR","nod",10.20907,5.122713,2005,139,11,0.079136690647482,"2000s",7.9136690647482
"238","CMR","nod",10.20907,5.122713,2006,97,11,0.11340206185567,"2000s",11.340206185567
"239","CMR","nod",10.20907,5.122713,2011,446,36,0.0807174887892377,"2010s",8.07174887892377
"240","CMR","nod",10.214,5.186,1996,29,15,0.517241379310345,"1990s",51.7241379310345
"241","CMR","nod",10.227,5.369,1996,30,1,0.0333333333333333,"1990s",3.33333333333333
"242","CMR","nod",10.227,5.39,1996,30,10,0.333333333333333,"1990s",33.3333333333333
"243","CMR","nod",10.233333,6.05,2002,113,3,0.0265486725663717,"2000s",2.65486725663717
"244","CMR","nod",10.234077,5.266932,1996,83,52,0.626506024096386,"1990s",62.6506024096386
"245","CMR","nod",10.234077,5.266932,2005,249,11,0.0441767068273092,"2000s",4.41767068273092
"246","CMR","nod",10.24,5.095,1996,27,17,0.62962962962963,"1990s",62.962962962963
"247","CMR","nod",10.242308,6.025314,2002,96,7,0.0729166666666667,"2000s",7.29166666666667
"248","CMR","nod",10.247,5.335,1996,24,8,0.333333333333333,"1990s",33.3333333333333
"249","CMR","nod",10.261059,6.006876,2002,92,0,0,"2000s",0
"250","CMR","nod",10.2675816,6.280064,2008,808,30,0.0371287128712871,"2000s",3.71287128712871
"251","CMR","nod",10.278,5.313,1996,24,3,0.125,"1990s",12.5
"252","CMR","nod",10.28,5.195,1996,26,16,0.615384615384615,"1990s",61.5384615384615
"253","CMR","nod",10.29758,5.503427,1996,30,12,0.4,"1990s",40
"254","CMR","nod",10.301,5.488,1996,30,12,0.4,"1990s",40
"255","CMR","nod",10.30805,5.204566,1996,26,16,0.615384615384615,"1990s",61.5384615384615
"256","CMR","nod",10.30805,5.204566,2005,61,5,0.0819672131147541,"2000s",8.19672131147541
"257","CMR","nod",10.30805,5.204566,2006,76,18,0.236842105263158,"2000s",23.6842105263158
"258","CMR","nod",10.30805,5.204566,2011,84,12,0.142857142857143,"2010s",14.2857142857143
"259","CMR","nod",10.33946,5.285468,1996,29,15,0.517241379310345,"1990s",51.7241379310345
"260","CMR","nod",10.33946,5.285468,2011,189,15,0.0793650793650794,"2010s",7.93650793650794
"261","CMR","nod",10.341,5.285,1996,29,15,0.517241379310345,"1990s",51.7241379310345
"262","CMR","nod",10.342,5.07,1996,25,15,0.6,"1990s",60
"263","CMR","nod",10.355,5.24,1996,28,10,0.357142857142857,"1990s",35.7142857142857
"264","CMR","nod",10.39371,5.141748,1996,29,22,0.758620689655172,"1990s",75.8620689655172
"265","CMR","nod",10.39371,5.141748,2005,101,16,0.158415841584158,"2000s",15.8415841584158
"266","CMR","nod",10.39371,5.141748,2006,80,23,0.2875,"2000s",28.75
"267","CMR","nod",10.39371,5.141748,2011,247,29,0.117408906882591,"2010s",11.7408906882591
"268","CMR","nod",10.423,5.41,1996,28,20,0.714285714285714,"1990s",71.4285714285714
"269","CMR","nod",10.424,5.001,1996,24,23,0.958333333333333,"1990s",95.8333333333333
"270","CMR","nod",10.426,5.436,1996,29,23,0.793103448275862,"1990s",79.3103448275862
"271","CMR","nod",10.435,5.332,1996,32,27,0.84375,"1990s",84.375
"272","CMR","nod",10.471,4.994,1996,29,23,0.793103448275862,"1990s",79.3103448275862
"273","CMR","nod",10.525632,5.143647,1996,184,143,0.777173913043478,"1990s",77.7173913043478
"274","CMR","nod",10.525632,5.143647,2005,267,22,0.0823970037453183,"2000s",8.23970037453183
"275","CMR","nod",10.547,5.326,1996,29,27,0.931034482758621,"1990s",93.1034482758621
"276","CMR","nod",10.555,2.727,1996,30,18,0.6,"1990s",60
"277","CMR","nod",10.582,5.333,1996,27,25,0.925925925925926,"1990s",92.5925925925926
"278","CMR","nod",10.58788,5.404441,1996,29,26,0.896551724137931,"1990s",89.6551724137931
"279","CMR","nod",10.58788,5.404441,2005,34,9,0.264705882352941,"2000s",26.4705882352941
"280","CMR","nod",10.58788,5.404441,2006,122,37,0.30327868852459,"2000s",30.327868852459
"281","CMR","nod",10.58788,5.404441,2011,167,31,0.18562874251497,"2010s",18.562874251497
"282","CMR","nod",10.605,5.408,1996,31,20,0.645161290322581,"1990s",64.5161290322581
"283","CMR","nod",10.6063983,4.2334748,2004,739,334,0.451962110960758,"2000s",45.1962110960758
"284","CMR","nod",10.607,5.287,1996,29,23,0.793103448275862,"1990s",79.3103448275862
"285","CMR","nod",10.61,5.301,1996,30,24,0.8,"1990s",80
"286","CMR","nod",10.61,5.343,1996,57,47,0.824561403508772,"1990s",82.4561403508772
"287","CMR","nod",10.623093,4.233261,1998,739,307,0.415426251691475,"1990s",41.5426251691475
"288","CMR","nod",10.623093,4.233261,2004,752,291,0.386968085106383,"2000s",38.6968085106383
"289","CMR","nod",10.639284,5.509706,1996,183,131,0.715846994535519,"1990s",71.5846994535519
"290","CMR","nod",10.639284,5.509706,2005,156,18,0.115384615384615,"2000s",11.5384615384615
"291","CMR","nod",10.6507,5.429187,1996,28,24,0.857142857142857,"1990s",85.7142857142857
"292","CMR","nod",10.6507,5.429187,2005,71,7,0.0985915492957746,"2000s",9.85915492957746
"293","CMR","nod",10.6507,5.429187,2006,72,18,0.25,"2000s",25
"294","CMR","nod",10.6507,5.429187,2011,150,26,0.173333333333333,"2010s",17.3333333333333
